ROICentroidsXInPixels,ROICentroidsYInPixels,anglesInDeg,anglesInRad,fileID,golgiAreaInSquareMicrons,golgiCentroidsXInPixels,golgiCentroidsYInPixels,golgiPerimeterInMicrons,nucleiAreaInSquareMicrons,nucleiCentroidsXInPixels,nucleiCentroidsYInPixels,nucleiPerimeterInMicrons
111.0,111.0,6.01,0.1,Animal 1_2hrs_046,30.22,93.43,139.6,40.35,105.16,98.93,87.38,43.71
100.0,111.0,-1.0,-0.02,Animal 1_2hrs_047,34.02,87.51,145.66,35.13,107.37,86.57,91.89,41.65
111.0,111.0,6.54,0.11,Animal 1_2hrs_047,114.32,80.84,149.96,118.44,270.88,86.23,102.87,84.53
111.0,111.0,-44.27,-0.77,Animal 1_2hrs_047,83.35,148.03,163.01,51.86,198.82,112.32,126.37,63.74
111.0,111.0,-31.53,-0.55,Animal 1_2hrs_048,76.62,131.04,170.19,69.12,197.9,105.1,127.9,72.68
111.0,111.0,-29.55,-0.52,Animal 1_2hrs_048,33.6,141.61,173.12,39.52,126.97,104.25,107.23,51.77
111.0,111.0,32.31,0.56,Animal 1_2hrs_048,23.92,92.14,159.82,38.04,82.83,121.96,112.66,38.18
111.0,111.0,-17.21,-0.3,Animal 1_2hrs_048,69.75,128.4,132.73,132.76,141.9,111.72,78.87,54.66
111.0,111.0,-33.15,-0.58,Animal 1_2hrs_049,47.32,148.61,167.24,88.69,141.13,105.98,101.96,53.99
111.0,111.0,-50.71,-0.88,Animal 1_2hrs_049,21.36,178.28,169.15,35.21,106.49,102.57,107.2,58.96
111.0,111.0,-27.56,-0.48,Animal 1_2hrs_049,34.79,159.11,185.54,56.93,127.76,117.06,104.98,56.26
111.0,111.0,-42.63,-0.74,Animal 1_2hrs_049,16.08,137.34,149.19,30.81,56.91,100.69,109.38,53.5
111.0,111.0,-9.92,-0.17,Animal 1_2hrs_049,16.91,116.94,161.03,25.78,64.64,108.88,114.94,37.66
111.0,111.0,39.58,0.69,Animal 1_2hrs_050,53.79,48.95,138.42,141.75,95.88,76.4,105.21,58.06
111.0,111.0,174.22,3.04,Animal 1_2hrs_050,37.02,84.29,42.11,65.45,70.71,94.16,139.66,40.36
111.0,111.0,-55.92,-0.98,Animal 1_2hrs_051,27.84,202.55,146.88,50.96,58.55,125.95,95.06,46.87
